Year	Month	Passengers
49	Jan	112
49	Feb	118
49	Mar	132
49	Apr	129
49	May	121
49	Jun	135
49	Jul	148
49	Aug	148
49	Sep	136
49	Oct	119
49	Nov	104
49	Dec	118
50	Jan	115
50	Feb	126
50	Mar	141
50	Apr	135
50	May	125
50	Jun	149
50	Jul	170
50	Aug	170
50	Sep	158
50	Oct	133
50	Nov	114
50	Dec	140
51	Jan	145
51	Feb	150
51	Mar	178
51	Apr	163
51	May	172
51	Jun	178
51	Jul	199
51	Aug	199
51	Sep	184
51	Oct	162
51	Nov	146
51	Dec	166
52	Jan	171
52	Feb	180
52	Mar	193
52	Apr	181
52	May	183
52	Jun	218
52	Jul	230
52	Aug	242
52	Sep	209
52	Oct	191
52	Nov	172
52	Dec	194
53	Jan	196
53	Feb	196
53	Mar	236
53	Apr	235
53	May	229
53	Jun	243
53	Jul	264
53	Aug	272
53	Sep	237
53	Oct	211
53	Nov	180
53	Dec	201
54	Jan	204
54	Feb	188
54	Mar	235
54	Apr	227
54	May	234
54	Jun	264
54	Jul	302
54	Aug	293
54	Sep	259
54	Oct	229
54	Nov	203
54	Dec	229
55	Jan	242
55	Feb	233
55	Mar	267
55	Apr	269
55	May	270
55	Jun	315
55	Jul	364
55	Aug	347
55	Sep	312
55	Oct	274
55	Nov	237
55	Dec	278
56	Jan	284
56	Feb	277
56	Mar	317
56	Apr	313
56	May	318
56	Jun	374
56	Jul	413
56	Aug	405
56	Sep	355
56	Oct	306
56	Nov	271
56	Dec	306
57	Jan	315
57	Feb	301
57	Mar	356
57	Apr	348
57	May	355
57	Jun	422
57	Jul	465
57	Aug	467
57	Sep	404
57	Oct	347
57	Nov	305
57	Dec	336
58	Jan	340
58	Feb	318
58	Mar	362
58	Apr	348
58	May	363
58	Jun	435
58	Jul	491
58	Aug	505
58	Sep	404
58	Oct	359
58	Nov	310
58	Dec	337
59	Jan	360
59	Feb	342
59	Mar	406
59	Apr	396
59	May	420
59	Jun	472
59	Jul	548
59	Aug	559
59	Sep	463
59	Oct	407
59	Nov	362
59	Dec	405
60	Jan	417
60	Feb	391
60	Mar	419
60	Apr	461
60	May	472
60	Jun	535
60	Jul	622
60	Aug	606
60	Sep	508
60	Oct	461
60	Nov	390
60	Dec	432
