Date,Apple,Safeway,SP500
8/1/14,-0.669,0.290,-0.528
7/1/14,2.873,0.349,-1.344
6/1/14,2.765,0.674,2.065
5/1/14,7.873,0.828,2.321
4/1/14,9.941,2.983,0.693
3/1/14,1.993,-0.845,0.829
2/1/14,5.758,19.906,4.554
1/1/14,-10.779,-4.096,-3.525
12/1/13,0.891,-6.309,2.590
11/1/13,7.004,0.228,2.967
10/1/13,9.635,9.065,4.626
9/1/13,-2.149,24.414,3.165
8/1/13,8.381,0.444,-2.998
7/1/13,14.120,9.007,5.167
6/1/13,-11.828,3.665,-1.336
5/1/13,2.249,2.154,2.362
4/1/13,0.016,-14.511,1.924
3/1/13,0.294,11.214,3.796
2/1/13,-2.534,23.927,1.272
1/1/13,-14.405,6.431,5.119
12/1/12,-9.079,6.726,0.897
11/1/12,-1.237,4.896,0.565
10/1/12,-10.756,1.387,-1.822
9/1/12,0.274,3.945,2.540
8/1/12,9.388,0.611,2.506
7/1/12,4.590,-14.323,1.180
6/1/12,1.077,-3.594,4.057
5/1/12,-1.066,-6.486,-6.001
4/1/12,-2.602,0.593,-0.670
3/1/12,10.531,-5.068,3.218
2/1/12,18.835,-2.418,4.336
1/1/12,12.712,4.478,4.637
12/1/11,5.959,5.961,1.051
11/1/11,-5.573,3.202,-0.414
10/1/11,6.146,16.533,10.924
9/1/11,-0.913,-8.562,-6.943
8/1/11,-1.444,-9.119,-5.499
7/1/11,16.343,-13.694,-2.001
6/1/11,-3.495,-4.748,-1.689
5/1/11,-0.669,1.574,-1.121
4/1/11,0.462,3.304,2.897
3/1/11,-1.327,8.414,0.008
2/1/11,4.101,5.456,3.474
1/1/11,5.200,-7.998,2.333
12/1/10,3.648,-1.628,6.682
11/1/10,3.382,0.381,0.000
10/1/10,6.092,8.255,3.824
9/1/10,16.722,13.218,8.962
8/1/10,-5.522,-8.491,-4.501
7/1/10,2.271,4.467,6.828
6/1/10,-2.081,-10.661,-5.178
5/1/10,-1.599,-6.203,-7.944
4/1/10,11.094,-5.076,1.548
3/1/10,14.853,0.203,6.084
2/1/10,6.560,11.011,3.122
1/1/10,-8.863,5.417,-3.628
12/1/09,5.385,-4.924,1.904
11/1/09,6.061,0.741,6.158
10/1/09,1.699,13.234,-1.919
9/1/09,10.187,4.099,3.543
8/1/09,2.958,0.609,3.696
7/1/09,14.704,-7.040,7.463
6/1/09,4.908,1.016,-0.072
5/1/09,7.916,2.539,5.857
4/1/09,19.721,-2.166,9.923
3/1/09,17.719,9.560,8.340
2/1/09,-0.975,-13.623,-10.746
