member,state,party,share,flip
BONNER (R AL-1),AL,R,39,0
BRIGHT (D AL-2),AL,D,36,1
ROGERS (R AL-3),AL,R,43,0
ADERHOLT (R AL-4),AL,R,23,0
GRIFFITH (D/R AL-5),AL,DR,38,1
BACHUS (R AL-6),AL,R,23,0
DAVIS (D AL-7),AL,D,72,0
YOUNG (R AK-1),AK,R,38,0
KIRKPATRICK (D AZ-1),AZ,D,44,1
FRANKS (R AZ-2),AZ,R,38,0
SHADEGG (R AZ-3),AZ,R,42,0
PASTOR (D AZ-4),AZ,D,66,0
MITCHELL (D AZ-5),AZ,D,47,1
FLAKE (R AZ-6),AZ,R,38,0
GRIJALVA (D AZ-7),AZ,D,57,0
GIFFORDS (D AZ-8),AZ,D,46,0
BERRY (D AR-1),AR,D,38,1
SNYDER (D AR-2),AR,D,44,1
BOOZMAN (R AR-3),AR,R,34,0
ROSS (D AR-4),AR,D,39,0
THOMPSON (D CA-1),CA,D,66,0
HERGER (R CA-2),CA,R,43,0
LUNGREN (R CA-3),CA,R,49,0
MCCLINTOCK (R CA-4),CA,R,44,0
MATSUI (D CA-5),CA,D,70,0
WOOLSEY (D CA-6),CA,D,76,0
MILLER (D CA-7),CA,D,72,0
PELOSI (D CA-8),CA,D,85,0
LEE (D CA-9),CA,D,88,0
TAUSCHER (D CA-10),CA,D,65,0
GARAMENDI (D CA-10),CA,D,65,0
MCNERNEY (D CA-11),CA,D,54,0
SPEIER (D CA-12),CA,D,74,0
STARK (D CA-13),CA,D,74,0
ESHOO (D CA-14),CA,D,73,0
HONDA (D CA-15),CA,D,68,0
LOFGREN (D CA-16),CA,D,70,0
FARR (D CA-17),CA,D,72,0
CARDOZA (D CA-18),CA,D,59,0
RADANOVI (R CA-19),CA,R,46,0
COSTA (D CA-20),CA,D,60,0
NUNES (R CA-21),CA,R,42,0
MCCARTHY (R CA-22),CA,R,38,0
CAPPS (D CA-23),CA,D,66,0
GALLEGLY (R CA-24),CA,R,51,0
MCKEON (R CA-25),CA,R,49,0
DREIER (R CA-26),CA,R,51,0
SHERMAN (D CA-27),CA,D,66,0
BERMAN (D CA-28),CA,D,76,0
SCHIFF (D CA-29),CA,D,68,0
WAXMAN (D CA-30),CA,D,70,0
BECERRA (D CA-31),CA,D,80,0
SOLIS (D CA-32),CA,D,68,0
CHU (D CA-32),CA,D,68,0
WATSON (D CA-33),CA,D,87,0
ROYBAL-A (D CA-34),CA,D,75,0
WATERS (D CA-35),CA,D,84,0
HARMAN (D CA-36),CA,D,64,0
RICHARDSON (D CA-37),CA,D,80,0
NAPOLITA (D CA-38),CA,D,71,0
SANCHEZ (D CA-39),CA,D,65,0
ROYCE (R CA-40),CA,R,47,0
LEWIS (R CA-41),CA,R,44,0
MILLER (R CA-42),CA,R,45,0
BACA (D CA-43),CA,D,68,0
CALVERT (R CA-44),CA,R,50,0
BONO (R CA-45),CA,R,52,0
ROHRABAC (R CA-46),CA,R,48,0
SANCHEZ (D CA-47),CA,D,60,0
CAMPBELL (R CA-48),CA,R,49,0
ISSA (R CA-49),CA,R,45,0
BILBRAY (R CA-50),CA,R,51,0
FILNER (D CA-51),CA,D,63,0
HUNTER (R CA-52),CA,R,45,0
DAVIS (D CA-53),CA,D,68,0
DEGETTE (D CO-1),CO,D,74,0
POLIS (D CO-2),CO,D,64,0
SALAZAR (D CO-3),CO,D,47,1
MARKEY (D CO-4),CO,D,49,1
LAMBORN (R CO-5),CO,R,40,0
COFFMAN (R CO-6),CO,R,46,0
PERLMUTTER (D CO-7),CO,D,59,0
LARSON (D CT-1),CT,D,66,0
COURTNEY (D CT-2),CT,D,59,0
DELAURO (D CT-3),CT,D,63,0
HIMES (D CT-4),CT,D,60,0
MURPHY (D CT-5),CT,D,56,0
CASTLE (R DE-1),DE,R,62,0
MILLER (R FL-1),FL,R,32,0
BOYD (D FL-2),FL,D,45,1
BROWN (D FL-3),FL,D,73,0
CRENSHAW (R FL-4),FL,R,38,0
BROWN-WAI (R FL-5),FL,R,43,0
STEARNS (R FL-6),FL,R,43,0
MICA (R FL-7),FL,R,46,0
GRAYSON (D FL-8),FL,D,53,1
BILIRAKI (R FL-9),FL,R,47,0
YOUNG (R FL-10),FL,R,51,0
CASTOR (D FL-11),FL,D,66,0
PUTNAM (R FL-12),FL,R,49,0
BUCHANAN (R FL-13),FL,R,47,0
MACK (R FL-14),FL,R,42,0
POSEY (R FL-15),FL,R,48,0
ROONEY (R FL-16),FL,R,47,0
MEEK (D FL-17),FL,D,87,0
ROS-LEHT (R FL-18),FL,R,51,0
WEXLER (D FL-19),FL,D,65,0
DEUTCH (D FL-19),FL,D,65,0
WASSERMA (D FL-20),FL,D,63,0
DIAZ-BAL (R FL-21),FL,R,49,0
KLEIN (D FL-22),FL,D,52,1
HASTINGS (D FL-23),FL,D,83,0
KOSMAS (D FL-24),FL,D,49,1
DIAZ-BALA (R FL-25),FL,R,49,0
KINGSTON (R GA-1),GA,R,36,0
BISHOP (D GA-2),GA,D,54,0
WESTMORE (R GA-3),GA,R,35,0
JOHNSON (D GA-4),GA,D,79,0
LEWIS (D GA-5),GA,D,79,0
PRICE (R GA-6),GA,R,37,0
LINDER (R GA-7),GA,R,39,0
MARSHALL (D GA-8),GA,D,43,1
DEAL (R GA-9),GA,R,24,0
GRAVES (R GA-9),GA,R,24,0
BROUN (R GA-10),GA,R,38,0
GINGREY (R GA-11),GA,R,33,0
BARROW (D GA-12),GA,D,54,0
SCOTT (D GA-13),GA,D,71,0
ABERCROM (D HI-1),HI,D,70,0
DJOU (R HI-1),HI,R,70,0
HIRONO (D HI-2),HI,D,73,0
MINNICK (D ID-1),ID,D,36,1
SIMPSON (R ID-2),ID,R,36,0
RUSH (D IL-1),IL,D,87,0
JACKSON (D IL-2),IL,D,90,0
LIPINSKI (D IL-3),IL,D,64,0
GUTIERRE (D IL-4),IL,D,85,0
QUIGLEY (D IL-5),IL,D,73,0
ROSKAM (R IL-6),IL,R,56,0
DAVIS (D IL-7),IL,D,88,0
BEAN (D IL-8),IL,D,56,1
SCHAKOWS (D IL-9),IL,D,72,0
KIRK (R IL-10),IL,R,61,0
HALVORSON (D IL-11),IL,D,53,1
COSTELLO (D IL-12),IL,D,54,0
BIGGERT (R IL-13),IL,R,54,0
FOSTER (D IL-14),IL,D,55,1
JOHNSON (R IL-15),IL,R,48,0
MANZULLO (R IL-16),IL,R,53,0
HARE (D IL-17),IL,D,56,1
SCHOCK (R IL-18),IL,R,48,0
SHIMKUS (R IL-19),IL,R,44,0
VISCLOSK (D IN-1),IN,D,62,0
DONNELLY (D IN-2),IN,D,54,0
SOUDER (R IN-3),IN,R,43,0
STUTZMAN (R IN-3),IN,R,43,0
BUYER (R IN-4),IN,R,40,0
BURTON (R IN-5),IN,R,46,0
PENCE (R IN-6),IN,R,71,0
CARSON (D IN-7),IN,D,47,0
ELLSWORTH (D IN-8),IN,D,49,1
HILL (D IN-9),IN,D,62,1
BRALEY (D IA-1),IA,D,58,0
LOEBSACK (D IA-2),IA,D,60,0
BOSWELL (D IA-3),IA,D,54,0
LATHAM (R IA-4),IA,R,53,0
KING (R IA-5),IA,R,44,0
MORAN (R KS-1),KS,R,30,0
JENKINS (R KS-2),KS,R,43,0
MOORE (D KS-3),KS,D,51,1
TIAHRT (R KS-4),KS,R,40,0
WHITFIEL (R KY-1),KY,R,37,0
GUTHRIE (R KY-2),KY,R,38,0
YARMUTH (D KY-3),KY,D,56,0
DAVIS (R KY-4),KY,R,38,0
ROGERS (R KY-5),KY,R,31,0
CHANDLER (D KY-6),KY,D,43,0
SCALISE (R LA-1),LA,R,26,0
CAO (R LA-2),LA,R,74,1
MELANCON (D LA-3),LA,D,37,1
FLEMING (R LA-4),LA,R,40,0
ALEXANDER (R LA-5),LA,R,37,0
CASSIDY (R LA-6),LA,R,41,0
BOUSTANY (R LA-7),LA,R,35,0
PINGREE (D ME-1),ME,D,61,0
MICHAUD (D ME-2),ME,D,55,0
KRATOVIL (D MD-1),MD,D,40,1
RUPPERSBE (D MD-2),MD,D,60,0
SARBANES (D MD-3),MD,D,59,0
EDWARDS (D MD-4),MD,D,85,0
HOYER (D MD-5),MD,D,65,0
BARTLETT (R MD-6),MD,R,40,0
CUMMINGS (D MD-7),MD,D,79,0
VAN (D MD-8),MD,D,74,0
OLVER (D MA-1),MA,D,64,0
NEAL (D MA-2),MA,D,59,0
MCGOVERN (D MA-3),MA,D,59,0
FRANK (D MA-4),MA,D,64,0
TSONGAS (D MA-5),MA,D,59,0
TIERNEY (D MA-6),MA,D,58,0
MARKEY (D MA-7),MA,D,65,0
CAPUANO (D MA-8),MA,D,86,0
LYNCH (D MA-9),MA,D,60,0
DELAHUNT (D MA-10),MA,D,55,0
STUPAK (D MI-1),MI,D,50,1
HOEKSTRA (R MI-2),MI,R,48,0
EHLERS (R MI-3),MI,R,49,0
CAMP (R MI-4),MI,R,50,0
KILDEE (D MI-5),MI,D,64,0
UPTON (R MI-6),MI,R,54,0
SCHAUER (D MI-7),MI,D,52,1
ROGERS (R MI-8),MI,R,53,0
PETERS (D MI-9),MI,D,56,0
MILLER (R MI-10),MI,R,48,0
MCCOTTER (R MI-11),MI,R,54,0
LEVIN (D MI-12),MI,D,65,0
KILPATRI (D MI-13),MI,D,85,0
CONYERS (D MI-14),MI,D,86,0
DINGELL (D MI-15),MI,D,66,0
WALZ (D MN-1),MN,D,51,0
KLINE (R MN-2),MN,R,48,0
PAULSEN (R MN-3),MN,R,52,0
MCCOLLUM (D MN-4),MN,D,64,0
ELLISON (D MN-5),MN,D,74,0
BACHMANN (R MN-6),MN,R,45,0
PETERSON (D MN-7),MN,D,47,0
OBERSTAR (D MN-8),MN,D,53,1
CHILDERS (D MS-1),MS,D,38,1
THOMPSON (D MS-2),MS,D,66,0
HARPER (R MS-3),MS,R,38,0
TAYLOR (D MS-4),MS,D,32,1
CLAY (D MO-1),MO,D,80,0
AKIN (R MO-2),MO,R,44,0
CARNAHAN (D MO-3),MO,D,60,0
SKELTON (D MO-4),MO,D,38,1
CLEAVER (D MO-5),MO,D,64,0
GRAVES (R MO-6),MO,R,45,0
BLUNT (R MO-7),MO,R,35,0
EMERSON (R MO-8),MO,R,36,0
LUETKEMEYER (R MO-9),MO,R,44,0
REHBERG (R MT-1),MT,R,47,0
FORTENBE (R NE-1),NE,R,44,0
TERRY (R NE-2),NE,R,50,0
SMITH (R NE-3),NE,R,30,0
BERKLEY (D NV-1),NV,D,64,0
HELLER (R NV-2),NV,R,49,0
TITUS (D NV-3),NV,D,55,1
SHEA-PORTER (D NH-1),NH,D,53,1
HODES (D NH-2),NH,D,56,0
ANDREWS (D NJ-1),NJ,D,65,0
LOBIONDO (R NJ-2),NJ,R,54,0
ADLER (D NJ-3),NJ,D,52,1
SMITH (R NJ-4),NJ,R,47,0
GARRETT (R NJ-5),NJ,R,45,0
PALLONE (D NJ-6),NJ,D,60,0
LANCE (R NJ-7),NJ,R,51,0
PASCRELL (D NJ-8),NJ,D,63,0
ROTHMAN (D NJ-9),NJ,D,61,0
PAYNE (D NJ-10),NJ,D,87,0
FRELINGH (R NJ-11),NJ,R,45,0
HOLT (D NJ-12),NJ,D,58,0
SIRES (D NJ-13),NJ,D,75,0
HEINRICH (D NM-1),NM,D,60,0
TEAGUE (D NM-2),NM,D,49,1
LUJAN (D NM-3),NM,D,61,0
BISHOP (D NY-1),NY,D,52,0
ISRAEL (D NY-2),NY,D,56,0
KING (R NY-3),NY,R,47,0
MCCARTHY (D NY-4),NY,D,58,0
ACKERMAN (D NY-5),NY,D,63,0
MEEKS (D NY-6),NY,D,89,0
CROWLEY (D NY-7),NY,D,79,0
NADLER (D NY-8),NY,D,74,0
WEINER (D NY-9),NY,D,55,1
TOWNS (D NY-10),NY,D,91,0
CLARKE (D NY-11),NY,D,91,0
VELAZQUE (D NY-12),NY,D,86,0
MCMAHON (D NY-13),NY,D,49,1
MALONEY (D NY-14),NY,D,78,0
RANGEL (D NY-15),NY,D,93,0
SERRANO (D NY-16),NY,D,95,0
ENGEL (D NY-17),NY,D,72,0
LOWEY (D NY-18),NY,D,62,0
HALL (D NY-19),NY,D,51,1
GILLIBRAND (D NY-20),NY,D,51,1
MURPHY (D NY-20),NY,D,51,0
TONKO (D NY-21),NY,D,58,0
HINCHEY (D NY-22),NY,D,59,0
MCHUGH (R NY-23),NY,R,52,1
OWENS (D NY-23),NY,D,52,0
ARCURI (D NY-24),NY,D,51,1
MAFFEI (D NY-25),NY,D,56,1
LEE (R NY-26),NY,R,46,1
HIGGINS (D NY-27),NY,D,54,0
SLAUGHTE (D NY-28),NY,D,69,0
MASSA (D NY-29),NY,D,48,1
REED (R NY-29),NY,R,48,1
BUTTERFI (D NC-1),NC,D,62,0
ETHERIDG (D NC-2),NC,D,52,1
JONES (R NC-3),NC,R,38,0
PRICE (D NC-4),NC,D,63,0
FOXX (R NC-5),NC,R,38,0
COBLE (R NC-6),NC,R,36,0
MCINTYRE (D NC-7),NC,D,47,0
KISSELL (D NC-8),NC,D,53,0
MYRICK (R NC-9),NC,R,45,0
MCHENRY (R NC-10),NC,R,36,0
SHULER (D NC-11),NC,D,47,0
WATT (D NC-12),NC,D,70,0
MILLER (D NC-13),NC,D,59,0
POMEROY (D ND-1),ND,D,45,1
DRIEHAUS (D OH-1),OH,D,55,1
SCHMIDT (R OH-2),OH,R,40,0
TURNER (R OH-3),OH,R,47,0
JORDAN (R OH-4),OH,R,38,0
LATTA (R OH-5),OH,R,45,0
WILSON (D OH-6),OH,D,48,1
AUSTRIA (R OH-7),OH,R,45,0
BOEHNER (R OH-8),OH,R,38,0
KAPTUR (D OH-9),OH,D,62,0
KUCINICH (D OH-10),OH,D,59,0
FUDGE (D OH-11),OH,D,85,0
TIBERI (R OH-12),OH,R,53,0
