"","Time","COAST","EAST","FAR_WEST","NORTH","NORTH_C","SOUTHERN","SOUTH_C","WEST","ERCOT","KHOU","KHOU_squared","orig.id"
"30831",2013-07-09 04:00:00,9778.03263240875,1263.0439256995,1569.87465554862,849.105662332391,12026.7353823184,2723.80946965304,5426.64524666207,981.508533377168,34618.755508,80.762,6522.500644,"30831"
"39584",2014-07-08 23:00:00,13691.1082667486,1766.94634228577,2212.35729520961,1055.19449122661,17225.3338157256,3894.93727416766,8290.1848493344,1388.49585230179,49524.558187,80.762,6522.500644,"39584"
"39367",2014-06-29 22:00:00,14333.708416274,1756.12786499979,2250.7294107665,1079.22178238139,17402.8103459981,4154.39776680318,8741.64483789387,1431.69588888316,51150.336314,87.962,7737.313444,"39367"
"17032",2011-12-11 20:00:00,9987.94802761499,1372.65884826724,1605.65057966381,914.066542270623,13260.3229016333,3150.04808617492,6646.53278690572,1216.41584446941,38153.643617,57.362,3290.399044,"17032"
"39924",2014-07-23 03:00:00,11323.3980192455,1259.56335105668,1952.29604519784,802.788314001818,12202.4727109491,3197.48306369096,6126.28914507945,1084.55805477867,37948.848704,80.762,6522.500644,"39924"
"39052",2014-06-16 19:00:00,16245.95428268,1989.11032216065,2372.5185934229,1184.97787765844,19747.1721304344,4640.46756288246,9788.02514134425,1517.68133541692,57485.907246,89.762,8057.216644,"39052"
"18442",2012-02-08 23:00:00,8677.69235497239,1293.74164530611,1465.52832022675,851.09380764419,12567.7951561407,2733.00906017389,5718.56119166429,1061.75359687168,34369.175133,57.362,3290.399044,"18442"
"43900",2015-01-04 19:00:00,10933.5406989201,1663.65596052987,1691.84424041027,989.467742174429,15840.9731651775,3231.20796715356,7116.43532253996,1287.76469005989,42754.8897869656,53.762,2890.352644,"43900"
"35513",2014-01-20 08:00:00,10046.2222689485,1443.04578390213,1893.99521653813,860.719010681268,12665.6963405543,2597.31342934813,5932.69396396991,1178.31436905763,36618.0003829999,46.562,2168.019844,"35513"
"18837",2012-02-25 10:00:00,8733.12337581199,1350.57544902064,1464.75465483064,794.52018137352,11940.0126041518,2925.7492672976,5787.14343224274,1094.69196227112,34090.570927,53.762,2890.352644,"18837"
"9235",2011-01-20 23:00:00,10610.9143212636,1850.15877048103,1492.92182681612,1084.08098101785,16581.8226552037,2758.17024217424,7236.22646721967,1263.86398782373,42878.159252,46.562,2168.019844,"9235"
"13661",2011-07-24 09:00:00,10404.9158617453,1431.13500777398,1390.79908321904,948.251223314022,13728.6052811293,3111.3430315797,6301.11249862403,1058.47419861466,38374.636186,78.962,6234.997444,"13661"
"55938",2016-05-20 12:00:00,11949.7271822831,1276.2512608123,2055.14615546462,726.320791206592,11707.4523391002,3279.67617265709,5826.74897452615,1017.40524290944,37838.7281189595,69.062,4769.559844,"55938"
"49059",2015-08-07 21:00:00,16928.2157137434,2144.54963459879,2572.50905174381,1255.22742617515,21293.3439490852,4683.05267904457,10512.711257149,1665.31491941314,61054.924630953,96.062,9227.907844,"49059"
"36874",2014-03-18 01:00:00,8396.7737986986,1141.20628326252,1694.61833384714,690.067632193828,9647.60672957539,2083.38544186046,4327.51778272201,961.215833840035,28942.391836,53.762,2890.352644,"36874"
"9317",2011-01-24 09:00:00,9558.00139641661,1594.4782373503,1448.79632599224,1082.17764592931,16675.0218660397,2890.10021702453,6645.74373619684,1250.80975805047,41145.129183,53.762,2890.352644,"9317"
"53765",2016-02-19 23:00:00,9834.03239088585,1072.94542866239,1996.45342534895,664.763968047516,10292.7143171159,2807.16093198313,5421.02059301326,923.473346908809,33012.5644019658,73.112,5345.364544,"53765"
"38460",2014-05-23 03:00:00,9087.31748094579,1112.22510324649,1714.12591558445,716.410750002017,9823.18234604757,2561.29308888809,4911.33725500777,943.337200277836,30869.22914,73.562,5411.367844,"38460"
"19655",2012-03-30 12:00:00,10553.9155132274,1251.92620599057,1410.07717821944,759.303464236653,11855.559765324,2990.5185043632,5986.83588839529,1061.76748324347,35869.904003,69.962,4894.681444,"19655"
"50247",2015-09-26 09:00:00,10129.0540657168,1111.14875471862,1922.28569894638,713.257098093671,10728.3496371748,2724.09958324696,5299.53842211725,997.896148946996,33625.6294089615,71.762,5149.784644,"50247"
"19719",2012-04-02 04:00:00,8390.56076877507,971.468249207211,1218.67015546447,615.207028063818,8619.0276479887,2279.01314387353,4264.05449342566,803.981464201528,27161.982951,73.562,5411.367844,"19719"
"9339",2011-01-25 07:00:00,9716.1536771131,1622.1958768578,1508.85957096252,1004.92936629379,14968.48390882,3053.7821340893,6832.6842960724,1181.30462679108,39888.393457,51.962,2700.049444,"9339"
"51232",2015-11-06 10:00:00,11339.6626113771,1219.20016742314,1960.39161037757,703.832236603924,10855.7558388186,3247.77519881949,5590.95755658987,962.233614956024,35879.8088349657,72.6619999999999,5279.76624399999,"51232"
"52597",2016-01-02 07:00:00,9453.04636128953,1290.69487133825,2137.86557083338,811.693082091351,11959.8547812189,3390.76867901988,6000.94691391706,1199.25691925765,36244.127178966,47.012,2210.128144,"52597"
"38652",2014-05-31 03:00:00,9581.78586817636,1032.73851652797,1724.80765929407,684.981081228994,9788.10207595679,2618.61934538105,5178.82491570661,902.630728728152,31512.490191,77.1619999999999,5953.97424399999,"38652"
"6184",2010-09-15 20:00:00,14035.9543654314,1999.7512679636,1436.90235260695,1178.46524556506,18060.8370249588,4017.17254038573,8821.53592551019,1473.46241757825,51024.08114,89.762,8057.216644,"6184"
"610",2010-01-26 10:00:00,9183.59299439684,1451.86822804176,1237.933915013,899.675476103412,12886.1062036306,2429.08514001327,5693.24954373519,1105.52451806596,34887.036019,46.562,2168.019844,"610"
"36831",2014-03-16 06:00:00,7603.28380475882,946.208285234573,1669.60527078034,621.156000856929,8178.59030620131,1929.28207538175,3790.54630787349,804.342879912777,25543.014931,68.1619999999999,4646.05824399999,"36831"
"39389",2014-06-30 20:00:00,15624.5699465434,1956.26922095563,2383.29045310864,1182.41611579874,19229.6523628837,4400.91816279988,9643.08762974558,1562.67860816437,55982.8825,89.762,8057.216644,"39389"
"951",2010-02-09 15:00:00,9941.68988049698,1436.61128981694,1190.06048117355,900.933829539937,13050.2066549149,2550.310010409,5756.60219341857,1052.27797623005,35878.692316,46.562,2168.019844,"951"
"17610",2012-01-04 23:00:00,8379.90990417964,1253.14500743308,1427.34879967435,808.844446232095,11779.1949402036,2432.23799278364,5072.60418883351,1021.75055766013,32175.035837,68.1619999999999,4646.05824399999,"17610"
"14427",2011-08-25 07:00:00,11547.9337616393,1422.35418604786,1443.93945491169,959.394327533081,14328.9803748316,3311.91410905326,6907.03391852774,1100.56916545546,41022.119298,80.762,6522.500644,"14427"
"42409",2014-11-03 16:00:00,11142.0224273605,1306.96797670953,1969.30687276242,728.973231968989,11067.9133877334,3239.87876563293,5755.81452568783,1021.93823014444,36232.815418,75.362,5679.431044,"42409"
"18537",2012-02-12 22:00:00,10259.3508869371,1504.82552527614,1661.17046681385,935.303797898545,14465.9929337762,3105.32916542314,7128.94576992954,1348.34964794557,40409.268194,44.762,2003.636644,"18537"
"7627",2010-11-14 23:00:00,7892.45328060661,1078.52731663841,1209.53375933311,707.118913274358,9298.47518801626,2183.29931243822,4557.00191032516,921.655209367873,27848.06489,55.562,3087.135844,"7627"
"53071",2016-01-22 01:00:00,9813.56648675019,1458.52067501015,2104.96753567858,876.829447620511,13646.4596613578,2283.85557865018,5377.09157248613,1094.30175140725,36655.5927089608,53.312,2842.169344,"53071"
"50592",2015-10-10 18:00:00,14115.628260515,1610.05876723359,2133.1976706547,875.495388591383,14506.8998104949,4051.39471163582,8401.72966237299,1303.62550846182,46998.0297799602,86.1619999999999,7423.89024399998,"50592"
"19017",2012-03-03 22:00:00,8118.47519931517,1156.74768812769,1388.35611218155,717.366490320254,10267.1672083296,2479.99228837587,4969.53967615525,935.309704194662,30032.954367,66.362,4403.915044,"19017"
"21832",2012-06-29 05:00:00,10202.7775752659,1313.5333480624,1450.08202979772,815.679783963855,12587.4110438525,2893.03586634601,5942.30689520069,1012.8273505109,36217.653893,80.762,6522.500644,"21832"
"607",2010-01-26 07:00:00,9324.05730563167,1570.50582128124,1335.92613446059,997.439493377495,14022.8157242458,2551.98001206311,6274.68809639211,1228.00865454799,37305.421242,46.562,2168.019844,"607"
"4611",2010-07-12 07:00:00,10432.5975438506,1307.34460361986,1192.94411943615,831.524783235393,12534.0255655717,2663.66051294776,6136.35732893591,952.029531402686,36050.483989,78.962,6234.997444,"4611"
